Time,Output
-11.8785,0.660633451
-11.878,0.660693385
-11.8775,0.660747679
-11.877,0.660796497
-11.8765,0.660839995
-11.876,0.660878344
-11.8755,0.660911708
-11.875,0.660940223
-11.8745,0.660964004
-11.874,0.660983198
-11.8735,0.660997999
-11.873,0.66100855
-11.8725,0.66101495
-11.872,0.661017334
-11.8715,0.66101589
-11.871,0.661010836
-11.8705,0.661002384
-11.87,0.660990744
-11.8695,0.660976149
-11.869,0.660958815
-11.8685,0.660938915
-11.868,0.660916647
-11.8675,0.660892241
-11.867,0.660865872
-11.8665,0.660837649
-11.866,0.660807713
-11.8655,0.66077623
-11.865,0.660743323
-11.8645,0.660709104
-11.864,0.660673701
-11.8635,0.660637203
-11.863,0.660599668
-11.8625,0.660561205
-11.862,0.660521953
-11.8615,0.660482024
-11.861,0.660441507
-11.8605,0.660400452
-11.86,0.660358891
-11.8595,0.660316889
-11.859,0.660274528
-11.8585,0.660231893
-11.858,0.660189043
-11.8575,0.660146021
-11.857,0.660102906
-11.8565,0.660059817
-11.856,0.660016845
-11.8555,0.659974058
-11.855,0.659931522
-11.8545,0.659889308
-11.854,0.659847506
-11.8535,0.659806196
-11.853,0.659765428
-11.8525,0.659725227
-11.852,0.659685639
-11.8515,0.659646725
-11.851,0.659608532
-11.8505,0.659571105
-11.85,0.659534504
-11.8495,0.659498782
-11.849,0.659463962
-11.8485,0.659430012
-11.848,0.659396876
-11.8475,0.659364532
-11.847,0.659332988
-11.8465,0.659302251
-11.846,0.659272338
-11.8455,0.659243273
-11.845,0.659215076
-11.8445,0.659187757
-11.844,0.659161314
-11.8435,0.659135751
-11.843,0.659111074
-11.8425,0.659087295
-11.842,0.659064483
-11.8415,0.659042717
-11.841,0.659022
-11.8405,0.659002274
-11.84,0.658983492
-11.8395,0.658965631
-11.839,0.658948648
-11.8385,0.658932511
-11.838,0.658917266
-11.8375,0.658902982
-11.837,0.658889692
-11.8365,0.658877431
-11.836,0.658866228
-11.8355,0.658856078
-11.835,0.658846961
-11.8345,0.658838857
-11.834,0.658831766
-11.8335,0.658825699
-11.833,0.658820656
-11.8325,0.658816613
-11.832,0.658813535
-11.8315,0.658811405
-11.831,0.658810234
-11.8305,0.658810027
-11.83,0.658810776
-11.8295,0.658812487
-11.829,0.658815163
-11.8285,0.658818754
-11.828,0.65882322
-11.8275,0.658828596
-11.827,0.658834932
-11.8265,0.658842227
-11.826,0.65885045
-11.8255,0.658859534
-11.825,0.658869419
