#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151262793
#Date Time: 2020-04-24 20:24:19.002
#Sample rate: 2000Hz
#Samples: 60000
#Trigger: Source: EKG Board Output Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#EKG Board Output: Range: 50 mV/div Offset: -688 mV Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 10 mV
#Offset: 130 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 10 mV
#Offset: 15 mV
#Symmetry: 50 %
#Phase: 180 °
#Power Supplies: ON
#Fixed Supply: OFF
#Voltage: 3.3 V
#Positive Supply: ON
#Voltage: 4 V Readback: 4.012 V
#Current: 500 mA Readback: 16 mA
#Negative Supply: OFF
#Voltage: -2 V
#Current: -500 mA
#Reference 1: OFF
#Voltage: 0 V
#Reference 2: OFF
#Voltage: 0 V

#Gathering EKG Data
#2020/04/24
#EKG-1.0
#Filename indicates configuration
#30 second recording, 2kHz sample rate, 60k samples
#Time (s),EKG Board Output (V)
-9.4985,0.6971852117005042
-9.497999999999999,0.6979701643746741
-9.4975,0.6964002590263343
-9.497,0.6956153063521644
-9.496499999999999,0.6956153063521644
-9.496,0.6948303536779945
-9.4955,0.6940454010038246
-9.494999999999999,0.6924754956554849
-9.4945,0.691690542981315
-9.494,0.6901206376329753
-9.493499999999999,0.6901206376329753
-9.493,0.6885507322846355
-9.4925,0.6885507322846355
-9.492000000000001,0.6877657796104656
-9.4915,0.6893356849588054
-9.491,0.6885507322846355
-9.490500000000001,0.6885507322846355
-9.49,0.6893356849588054
-9.4895,0.6901206376329753
-9.489000000000001,0.6909055903071452
-9.4885,0.6940454010038246
-9.488,0.6940454010038246
-9.487500000000001,0.6956153063521644
-9.487,0.6964002590263343
-9.486499999999999,0.6971852117005042
-9.486000000000001,0.6979701643746741
-9.4855,0.698755117048844
-9.484999999999999,0.6979701643746741
-9.484500000000001,0.6995400697230139
-9.484,0.698755117048844
-9.483499999999999,0.698755117048844
-9.483000000000001,0.698755117048844
-9.4825,0.698755117048844
-9.481999999999999,0.698755117048844
-9.4815,0.6979701643746741
-9.481,0.6971852117005042
-9.480499999999999,0.6971852117005042
-9.48,0.6956153063521644
-9.4795,0.6956153063521644
-9.478999999999999,0.6940454010038246
-9.4785,0.6932604483296548
-9.478,0.691690542981315
-9.477499999999999,0.6909055903071452
-9.477,0.6893356849588054
-9.4765,0.6885507322846355
-9.476000000000001,0.6885507322846355
-9.4755,0.6877657796104656
-9.475,0.6877657796104656
-9.474500000000001,0.6885507322846355
-9.474,0.6885507322846355
-9.4735,0.6885507322846355
-9.473000000000001,0.6893356849588054
-9.4725,0.6909055903071452
-9.472,0.691690542981315
-9.471500000000001,0.6932604483296548
-9.471,0.6948303536779945
-9.470499999999999,0.6956153063521644
-9.470000000000001,0.6964002590263343
-9.4695,0.6979701643746741
-9.468999999999999,0.6971852117005042
-9.468500000000001,0.6979701643746741
-9.468,0.698755117048844
-9.467499999999999,0.6979701643746741
-9.467000000000001,0.698755117048844
-9.4665,0.6979701643746741
-9.465999999999999,0.6995400697230139
-9.4655,0.6979701643746741
-9.465,0.6979701643746741
-9.464499999999999,0.6971852117005042
-9.464,0.6964002590263343
-9.4635,0.6956153063521644
-9.462999999999999,0.6956153063521644
-9.4625,0.6948303536779945
-9.462,0.6932604483296548
-9.461499999999999,0.6924754956554849
-9.461,0.6909055903071452
-9.4605,0.6901206376329753
-9.460000000000001,0.6893356849588054
-9.4595,0.6885507322846355
-9.459,0.6877657796104656
-9.458500000000001,0.6877657796104656
-9.458,0.6885507322846355
-9.4575,0.6885507322846355
-9.457000000000001,0.6885507322846355
-9.4565,0.6893356849588054
-9.456,0.6893356849588054
-9.455500000000001,0.6924754956554849
-9.455,0.6924754956554849
-9.454499999999999,0.6948303536779945
-9.454000000000001,0.6948303536779945
-9.4535,0.6964002590263343
-9.452999999999999,0.6964002590263343
-9.452500000000001,0.6979701643746741
-9.452,0.6971852117005042
-9.451499999999999,0.698755117048844
-9.451000000000001,0.698755117048844
-9.4505,0.698755117048844
-9.449999999999999,0.6979701643746741
-9.4495,0.6995400697230139
-9.449,0.6971852117005042
-9.448499999999999,0.6979701643746741
-9.448,0.6971852117005042
-9.4475,0.6971852117005042
-9.446999999999999,0.6956153063521644
-9.4465,0.6948303536779945
-9.446,0.6940454010038246
-9.445499999999999,0.6932604483296548
-9.445,0.6924754956554849
-9.4445,0.6909055903071452
-9.444000000000001,0.6901206376329753
-9.4435,0.6893356849588054
-9.443,0.6877657796104656
-9.442500000000001,0.6877657796104656
-9.442,0.6877657796104656
-9.4415,0.6869808269362957
-9.441000000000001,0.6877657796104656
-9.4405,0.6877657796104656
-9.44,0.6885507322846355
-9.439500000000001,0.6901206376329753
-9.439,0.6909055903071452
-9.438499999999999,0.6924754956554849
-9.438000000000001,0.6940454010038246
-9.4375,0.6948303536779945
-9.436999999999999,0.6964002590263343
-9.436500000000001,0.6979701643746741
-9.436,0.6971852117005042
-9.435499999999999,0.698755117048844
-9.435,0.6979701643746741
-9.4345,0.6995400697230139
-9.433999999999999,0.698755117048844
-9.4335,0.6995400697230139
-9.433,0.698755117048844
-9.432499999999999,0.698755117048844
-9.432,0.698755117048844
-9.4315,0.6979701643746741
-9.430999999999999,0.6979701643746741
-9.4305,0.6971852117005042
-9.43,0.6964002590263343
-9.429500000000001,0.6956153063521644
-9.429,0.6940454010038246
-9.4285,0.6940454010038246
-9.428000000000001,0.6932604483296548
-9.4275,0.6909055903071452
-9.427,0.6909055903071452
-9.426500000000001,0.6893356849588054
-9.426,0.6893356849588054
-9.4255,0.6877657796104656
-9.425000000000001,0.6893356849588054
