#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151262793
#Date Time: 2020-04-24 19:39:27.140
#Sample rate: 2000Hz
#Samples: 60000
#Trigger: Source: EKG Board Output Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#EKG Board Output: Range: 20 mV/div Offset: -688 mV Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 10 mV
#Offset: 130 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 10 mV
#Offset: 15 mV
#Symmetry: 50 %
#Phase: 180 °
#Power Supplies: ON
#Fixed Supply: OFF
#Voltage: 3.3 V
#Positive Supply: ON
#Voltage: 4 V Readback: 4 V
#Current: 500 mA Readback: 18 mA
#Negative Supply: OFF
#Voltage: -2 V
#Current: -500 mA
#Reference 1: OFF
#Voltage: 0 V
#Reference 2: OFF
#Voltage: 0 V

#Gathering EKG Data
#2020/04/24
#EKG-1.0
#Filename indicates configuration
#30 second recording, 2kHz sample rate, 60k samples
#Time (s),EKG Board Output (V)
-15,0.5951413640584194
-14.9995,0.5959263167325893
-14.999,0.5967112694067592
-14.9985,0.5974962220809291
-14.998,0.598281174755099
-14.9975,0.598281174755099
-14.997,0.5998510801034388
-14.9965,0.5990661274292689
-14.996,0.6375288084635932
-14.9955,0.8282723082868746
-14.995,0.8298422136352144
-14.9945,0.8298422136352144
-14.994,0.8298422136352144
-14.9935,0.8298422136352144
-14.993,0.8267024029385348
-14.9925,0.7756804791174925
-14.992,0.5967112694067592
-14.9915,0.5943564113842495
-14.991,0.5959263167325893
-14.9905,0.5967112694067592
-14.99,0.5974962220809291
-14.9895,0.5974962220809291
-14.989,0.598281174755099
-14.9885,0.6759914894979173
-14.988,0.8533907938603109
-14.9875,0.8612403206020096
-14.987,0.8604553679278398
-14.9865,0.8620252732761795
-14.986,0.8588854625795
-14.9855,0.785884863881701
-14.985,0.5935714587100797
-14.9845,0.5951413640584194
-14.984,0.5959263167325893
-14.9835,0.5959263167325893
-14.983,0.5967112694067592
-14.9825,0.5974962220809291
-14.982,0.5974962220809291
-14.9815,0.598281174755099
-14.981,0.598281174755099
-14.9805,0.5990661274292689
-14.98,0.5998510801034388
-14.9795,0.6006360327776086
-14.979,0.7882397219042105
-14.9785,0.8290572609610445
-14.978,0.8298422136352144
-14.9775,0.8298422136352144
-14.977,0.8306271663093843
-14.9765,0.8282723082868746
-14.976,0.8235625922418554
-14.9755,0.6273244236993847
-14.975,0.5951413640584194
-14.9745,0.5967112694067592
-14.974,0.5974962220809291
-14.9735,0.5967112694067592
-14.973,0.598281174755099
-14.9725,0.5990661274292689
-14.972,0.6006360327776086
-14.9715,0.845541267118612
-14.971,0.8604553679278398
-14.9705,0.8620252732761795
-14.97,0.8628102259503494
-14.9695,0.8612403206020096
-14.969,0.8588854625795
-14.9685,0.6171200389351762
-14.968,0.5935714587100797
-14.9675,0.5943564113842495
-14.967,0.5951413640584194
-14.9665,0.5959263167325893
-14.966,0.5967112694067592
-14.9655,0.5974962220809291
-14.965,0.5974962220809291
-14.9645,0.598281174755099
-14.964,0.5990661274292689
-14.9635,0.5998510801034388
-14.963,0.5998510801034388
-14.9625,0.7152391232064115
-14.962,0.8282723082868746
-14.9615,0.8290572609610445
-14.961,0.8282723082868746
-14.9605,0.8290572609610445
-14.96,0.8298422136352144
-14.9595,0.825132497590195
-14.959,0.698755117048844
-14.9585,0.5959263167325893
-14.958,0.5959263167325893
-14.9575,0.5967112694067592
-14.957,0.5974962220809291
-14.9565,0.598281174755099
-14.956,0.598281174755099
-14.9555,0.5990661274292689
-14.955,0.7678309523757937
-14.9545,0.8573155572311603
-14.954,0.8628102259503494
-14.9535,0.8643801312986892
