#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151262793
#Date Time: 2020-04-24 19:30:05.112
#Sample rate: 2000Hz
#Samples: 60000
#Trigger: Source: EKG Board Output Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#EKG Board Output: Range: 20 mV/div Offset: -688 mV Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 10 mV
#Offset: 130 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 10 mV
#Offset: 15 mV
#Symmetry: 50 %
#Phase: 180 °
#Power Supplies: ON
#Fixed Supply: OFF
#Voltage: 3.3 V
#Positive Supply: ON
#Voltage: 4 V Readback: 3.999 V
#Current: 500 mA Readback: 19 mA
#Negative Supply: OFF
#Voltage: -2 V
#Current: -500 mA
#Reference 1: OFF
#Voltage: 0 V
#Reference 2: OFF
#Voltage: 0 V

#Gathering EKG Data
#2020/04/24
#EKG-1.0
#Filename indicates configuration
#30 second recording, 2kHz sample rate, 60k samples
#Time (s),EKG Board Output (V)
-15,0.6869808269362957
-14.9995,0.6948303536779945
-14.999,0.6956153063521644
-14.9985,0.6964002590263343
-14.998,0.6948303536779945
-14.9975,0.6956153063521644
-14.997,0.6956153063521644
-14.9965,0.6956153063521644
-14.996,0.672066726127068
-14.9955,0.6736366314754078
-14.995,0.6909055903071452
-14.9945,0.7003250223971837
-14.994,0.7089595018130525
-14.9935,0.7128842651839018
-14.993,0.6956153063521644
-14.9925,0.6964002590263343
-14.992,0.6948303536779945
-14.9915,0.6956153063521644
-14.991,0.6956153063521644
-14.9905,0.6948303536779945
-14.99,0.6956153063521644
-14.9895,0.6956153063521644
-14.989,0.6956153063521644
-14.9885,0.6956153063521644
-14.988,0.6948303536779945
-14.9875,0.6948303536779945
-14.987,0.6956153063521644
-14.9865,0.6971852117005042
-14.986,0.6909055903071452
-14.9855,0.6830560635654463
-14.985,0.6744215841495776
-14.9845,0.6681419627562185
-14.984,0.6555827199695005
-14.9835,0.672066726127068
-14.983,0.6964002590263343
-14.9825,0.6956153063521644
-14.982,0.6948303536779945
-14.9815,0.6956153063521644
-14.981,0.6948303536779945
-14.9805,0.6956153063521644
-14.98,0.6956153063521644
-14.9795,0.6838410162396162
-14.979,0.6689269154303884
-14.9785,0.6854109215879559
-14.978,0.6971852117005042
-14.9775,0.7073895964647127
-14.977,0.7152391232064115
-14.9765,0.7003250223971837
-14.976,0.6948303536779945
-14.9755,0.6964002590263343
-14.975,0.6956153063521644
-14.9745,0.6956153063521644
-14.974,0.6948303536779945
-14.9735,0.6956153063521644
-14.973,0.6956153063521644
-14.9725,0.6956153063521644
-14.972,0.6956153063521644
-14.9715,0.6956153063521644
-14.971,0.6948303536779945
-14.9705,0.6956153063521644
-14.97,0.6979701643746741
-14.9695,0.6948303536779945
-14.969,0.6861958742621258
-14.9685,0.6775613948462571
-14.968,0.672066726127068
-14.9675,0.6618623413628595
-14.967,0.6563676726436702
-14.9665,0.6964002590263343
-14.966,0.6956153063521644
-14.9655,0.6956153063521644
-14.965,0.6964002590263343
-14.9645,0.6956153063521644
-14.964,0.6956153063521644
-14.9635,0.6956153063521644
-14.963,0.6948303536779945
-14.9625,0.6626472940370294
-14.962,0.6807012055429367
-14.9615,0.6956153063521644
-14.961,0.705034738442203
-14.9605,0.7136692178580717
-14.96,0.7089595018130525
-14.9595,0.6948303536779945
-14.959,0.6956153063521644
-14.9585,0.6956153063521644
-14.958,0.6964002590263343
-14.9575,0.6956153063521644
-14.957,0.6948303536779945
-14.9565,0.6956153063521644
-14.956,0.6956153063521644
-14.9555,0.6956153063521644
-14.955,0.6964002590263343
-14.9545,0.6956153063521644
-14.954,0.6948303536779945
-14.9535,0.6979701643746741
-14.953,0.6971852117005042
-14.9525,0.6901206376329753
-14.952,0.6814861582171066
-14.9515,0.6744215841495776
-14.951,0.6665720574078787
-14.9505,0.6524429092728209
-14.95,0.6877657796104656
-14.9495,0.6956153063521644
-14.949,0.6956153063521644
-14.9485,0.6956153063521644
-14.948,0.6948303536779945
-14.9475,0.6964002590263343
-14.947,0.6956153063521644
-14.9465,0.6956153063521644
-14.946,0.6728516788012379
-14.9455,0.6767764421720872
-14.945,0.691690542981315
-14.9445,0.7018949277455235
-14.944,0.7105294071613922
-14.9435,0.7152391232064115
-14.943,0.6964002590263343
-14.9425,0.6964002590263343
-14.942,0.6964002590263343
-14.9415,0.6956153063521644
-14.941,0.6964002590263343
-14.9405,0.6956153063521644
-14.94,0.6964002590263343
-14.9395,0.6956153063521644
-14.939,0.6964002590263343
-14.9385,0.6956153063521644
-14.938,0.6964002590263343
-14.9375,0.6956153063521644
-14.937,0.6956153063521644
-14.9365,0.6995400697230139
-14.936,0.6940454010038246
-14.9355,0.6854109215879559
-14.935,0.6775613948462571
-14.9345,0.6704968207787282
-14.934,0.65793757799201
-14.9335,0.6712817734528981
-14.933,0.6964002590263343
-14.9325,0.6956153063521644
-14.932,0.6964002590263343
-14.9315,0.6956153063521644
-14.931,0.6956153063521644
-14.9305,0.6964002590263343
-14.93,0.6964002590263343
-14.9295,0.6838410162396162
-14.929,0.6704968207787282
-14.9285,0.6885507322846355
-14.928,0.7003250223971837
-14.9275,0.7097444544872223
-14.927,0.7175939812289212
-14.9265,0.7011099750713536
-14.926,0.6964002590263343
